1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 17, 18, 20, 22, 23, 24
4, 1, 3, 20, 5, 6, 23, 17, 18, 24, 13, 10, 22, 11, 14, 7


15, 3, 11, 19, 13, 18, 12, 20, 6, 17, 5, 16, 8, 7, 1, 14, 4, 9, 10, 2
19, 9, 11, 12, 3, 17, 7, 15, 16, 13, 8, 5, 6, 10, 20, 14, 1, 2, 4, 18
15, 20, 7, 14, 5, 2, 12, 6, 16, 10, 17, 13, 19, 3, 8, 18, 11, 1, 4, 9
7, 13, 11, 3, 4, 15, 2, 8, 12, 14, 18, 20, 16, 9, 19, 10, 6, 17, 5, 1
4, 6, 13, 16, 9, 14, 17, 11, 15, 12, 1, 10, 3, 2, 8, 18, 5, 20, 7, 19
7, 6, 15, 8, 18, 13, 12, 11, 5, 20, 19, 4, 3, 16, 14, 1, 9, 17, 2, 10
12, 3, 11, 15, 1, 17, 19, 13, 7, 8, 18, 9, 20, 5, 6, 2, 4, 14, 10, 16
1, 7, 8, 11, 2, 17, 12, 14, 15, 4, 3, 5, 9, 20, 13, 18, 19, 10, 6, 16
12, 19, 8, 3, 10, 18, 2, 1, 17, 13, 16, 14, 4, 20, 15, 9, 7, 11, 6, 5
7, 19, 18, 4, 2, 10, 1, 3, 13, 17, 16, 6, 15, 5, 20, 12, 11, 9, 14, 8
