461,755,683,829,534,638,178,909,66,863,411,243,233,37,417,679,425,592,965,101,459,963,223,9,872,189,484,759,656,822,147,317,625,958,161,241,919,966,111,314,103,406,83,639,700,889,525,349,608,88,590,30,267,714,263,916,453,68,732,426,855,17,389,232,521,390,601,190,434,427,704,365,802,138,295,911,464,692,218,75,752,80,122,835,250,481,605,710,318,953,931,776,717,146,322,451,332,490,117,952
176,298,44,581,668,532,686,766,579,171,1000,124,342,912,320,977,273,400,756,476,862,864,689,394,799,537,913,13,34,599,120,195,201,181,976,486,811,227,881,52,729,741,733,998,497,239,76,421,498,578,420,546,313,892,891,74,570,87,762,959,323,238,821,95,336,515,361,558,140,545,174,996,782,926,72,644,701,442,672,409,487,274,215,796,402,391,327,730,798,720,857,646,932,749,787,654,300,779,355,59
114,992,477,877,211,340,413,253,547,1,319,667,302,404,709,935,118,743,19,591,344,257,408,369,918,370,550,374,676,807,145,141,631,198,544,449,612,806,994,600,792,655,899,519,29,405,360,847,7,165,832,812,865,46,366,494,707,156,615,33,338,330,131,337,290,113,85,941,450,924,399,630,445,983,485,222,345,492,739,121,662,194,943,571,803,949,808,702,836,993,206,549,348,680,460,745,907,981,424,809
38,974,500,618,294,364,967,636,224,552,188,312,440,108,633,493,635,833,378,955,783,254,843,825,3,350,432,39,685,551,71,54,726,536,917,4,221,987,192,196,324,728,410,611,815,379,595,905,727,606,603,824,868,875,781,11,553,354,664,878,107,954,584,677,693,826,768,154,643,235,126,166,813,657,520,448,751,629,734,569,978,736,663,840,182,262,446,648,136,279,65,10,641,225,367,14,139,914,937,723
282,50,691,523,573,846,297,286,261,303,393,31,610,306,18,128,331,939,785,256,767,100,758,930,377,632,620,678,526,973,105,507,168,607,897,814,580,102,539,687,503,902,480,671,860,684,454,923,697,927,834,564,397,472,586,893,770,511,435,737,86,961,817,291,186,56,765,906,566,334,876,528,430,856,740,94,830,769,541,884,333,457,183,499,535,922,848,989,933,724,990,310,964,780,25,403,177,753,352,12
764,775,474,658,640,144,455,771,838,468,264,800,132,797,557,180,604,561,245,84,299,23,665,210,598,747,275,212,159,109,373,392,850,21,414,971,305,157,530,647,574,288,438,112,962,828,777,82,501,62,576,249,619,950,462,873,616,315,415,133,123,91,252,229,568,699,622,155,42,357,187,368,510,422,885,705,271,650,746,220,73,203,465,845,116,130,416,328,623,77,64,593,2,925,307,308,269,104,956,645
948,412,173,387,230,588,167,287,895,266,572,972,757,934,810,447,763,854,718,339,661,353,418,514,968,915,204,879,41,853,281,343,326,70,49,55,542,675,134,458,540,985,436,842,247,22,89,148,735,135,997,35,184,849,712,979,920,946,491,57,255,143,738,711,285,439,900,719,508,805,517,801,669,259,793,153,613,841,240,694,443,110,555,681,575,304,237,437,890,548,896,309,478,251,60,851,172,359,125,703
63,831,867,270,748,866,820,582,382,385,651,988,725,386,106,859,858,816,673,260,696,236,538,839,78,883,214,463,874,721,894,750,742,495,908,383,452,228,98,51,888,151,554,936,666,276,242,45,470,562,325,479,164,556,670,358,53,69,380,67,506,231,278,653,388,142,423,200,509,356,563,731,583,951,289,559,659,209,660,674,207,193,695,219,505,947,329,213,819,761,938,715,627,861,560,960,185,995,32,97
27,502,316,372,617,690,682,929,496,928,634,518,772,395,456,903,216,778,827,621,786,6,975,565,79,268,199,944,248,208,246,119,795,205,191,602,489,901,713,398,99,170,760,980,844,567,773,999,277,351,292,706,175,482,150,90,652,898,362,265,637,991,335,471,585,272,942,433,577,594,475,614,129,642,341,115,16,347,887,543,20,47,945,311,529,516,522,127,28,226,716,384,40,984,597,296,152,921,649,202
533,589,234,396,527,15,969,43,5,26,774,986,970,754,469,940,96,957,869,244,58,137,790,587,371,401,488,419,531,837,513,48,92,301,346,258,36,160,163,708,363,441,473,24,8,284,483,81,871,444,794,852,744,293,688,791,823,467,626,504,149,158,784,722,93,788,886,217,818,698,169,524,376,804,431,982,375,407,162,283,624,61,466,870,512,904,789,179,880,628,321,609,910,429,381,280,596,197,882,428
